Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
World,9820.948378,10026.27936,10484.72158,11069.92496,11534.87575,12065.27366,12613.01713,13427.15581,13545.53473,13319.01135,14293.34251,14920.54978,15237.75175,15661.26988,15981.27814,16024.10752,16193.88652,16540.7586,16871.23585,16789.66712,16414.72545,17270.37861,17411.93782,17498.47351
Afghanistan,0.172,0.1879,0.1512,0.274,0.232,0.235,0.267,0.266,0.247,0.114,0.125,0.176,0.144,0.2184,0.159,0.1492,0.1547,0.1763,0.1999,0.1827,0.1243,0.13,0.129378,0.129376545
Albania,0.184,0.175,0.226,0.107,0.14,0.07,0.093,0.072,0.0,0.0009,0.0009,0.0593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Algeria,25.358,26.556,27.591,29.306,30.999,33.36,35.008,36.97,39.953,38.195,45.56,50.722,56.775,59.56,64.024,68.618,70.708,75.431,75.932,80.744,78.4875,84.7839,90.60872377,95.39
American Samoa,0.169,0.171,0.179,0.188,0.188,0.189,0.189,0.185,0.188,0.178,0.159,0.155,0.155,0.154,0.153,0.159,0.167,0.162,0.163,0.164,0.166,0.167,0.166254,0.166671722
Angola,0.533,0.621,0.622,0.754,0.489,0.415,0.439,0.752,0.904,1.645,1.746,1.642,2.241,3.422,4.51,4.437,4.546,3.0862,2.702,4.2415,4.1,4.145,4.227702,4.227702
Antigua and Barbuda,0.15,0.171,0.191,0.211,0.221,0.243,0.258,0.2854,0.296,0.3274,0.3295,0.329,0.33,0.33,0.336,0.34,0.344,0.344,0.349,0.3453,0.3304,0.3338,0.335453,0.33804436
Argentina,53.555,45.634,42.285,49.695,60.989,63.685,66.71,73.724,82.017,77.968,83.75,90.004,97.74,97.586,98.298,103.766,106.919,105.3359,104.4505,95.7114,95.6578,104.6399,93.7208062,80.1361163
Armenia,2.692,2.79,1.579,1.521,1.613,1.828,1.476,1.489,1.854,1.154,1.438,2.39,3.399,3.173,3.289,2.801,2.581,2.872,3.376,3.047,3.166,3.3837,3.879,3.716
Aruba,0.7766,0.8083,0.8247,0.8418,0.8658,0.9105,0.9095,0.936,0.9136,0.9243,0.8337,0.8179,0.7781,0.7897,0.7782,0.7932,0.8019,0.8346,0.8079,0.8224,0.825,0.829,0.828802,0.828802
Australia,192.274,206.103,209.504,201.967,209.53,208.244,211.085,221.966,223.347,229.493,230.893,227.433,224.509,216.511,211.256,217.871,219.115,217.564,205.5013,198.1056,193.6501,182.7819,174.8022467,181.3618638
Austria,16.292,18.597,18.57,22.537,21.882,23.159,21.063,19.164,19.378,20.513,23.7799,22.3211,18.238,15.1102,12.5494,15.4356,15.1902,17.6594,14.2533,15.4212,13.0067507,13.4580709,13.5336435,10.1330254
Azerbaijan,17.165,17.669,16.681,18.817,18.988,19.863,22.025,19.483,19.411,16.558,15.263,17.618,21.167,21.6927,23.2608,22.8599,22.761,22.3449,23.177,24.1626,24.4259,26.2709,27.0946,27.184
Bahrain,13.859,14.618,15.258,15.702,16.15,19.373,21.042,21.727,22.824,22.561,23.824,24.338,24.775,25.909,27.246,28.475,28.508,29.223,29.546,33.092,33.363,33.874,35.598,36.07500096
Bangladesh,15.004,16.399,17.898,18.945,23.916,25.68,28.764,30.238,33.268,36.76,40.026,43.237,47.712,52.27,55.271,58.481,67.854,72.1618,77.7542,83.924,84.206,94.304,100.6673,104.434
Barbados,0.787,0.827,0.859,0.8709,0.8953,0.9927,1.0204,1.0492,1.0537,1.0684,1.0276,1.045,1.1246,1.0132,1.0179,1.0266,1.0344,1.0056,1.0086,1.0166,0.9968,0.985,1.000819417,1.001470548
